id_cliente,nombre,edad,genero,ciudad,distrito,fecha_registro,canal_preferido,segmento
C00249,Gloria Luz Gómez Díaz,32,Femenino,Lima,La Molina,2024-12-01,Web,Nuevo
C00250,Carmen Vásquez,51,Femenino,Piura,Catacaos,2024-03-09,Web,Ocasional
C00251,Laura Carolina Pérez,29,Femenino,Lima,San Isidro,2025-02-05,Tienda,Regular
C00252,Karen Dary Muñoz,48,Femenino,Cusco,San Jeronimo,2023-02-11,Tienda,Nuevo
C00253,Ingrid Erika Morales Espinosa,38,Femenino,Lima,San Borja,2024-11-04,App,Regular
C00254,Duván Andrés Solano Ortiz,45,Masculino,Lima,Villa El Salvador,2025-07-26,Web,Ocasional
C00255,Adrián Milton Álvarez Villamizar,55,Masculino,Arequipa,Yanahuara,2025-06-17,Tienda,Regular
C00256,Cristian Antonio Cortés,45,Masculino,Arequipa,Cercado,2022-04-26,Tienda,Regular
C00257,Lina Gutiérrez Daza,62,Femenino,Piura,Castilla,2022-07-15,Tienda,Regular
C00258,Sandra Montenegro Padilla,43,Femenino,Lima,San Borja,2025-11-15,Tienda,Nuevo
C00259,Ana Julia Álvarez Ortiz,18,Femenino,Lima,La Molina,2022-05-04,Web,Premium
C00260,Shirley Vargas,43,Femenino,Lima,San Borja,2023-09-18,Tienda,Regular
C00261,Karen Claudia Ruiz,36,Femenino,Arequipa,Cercado,2023-12-06,Tienda,Nuevo
C00262,Vanessa Parra,28,Femenino,Lima,Villa El Salvador,2024-12-20,Tienda,Regular
C00263,Mario Ricardo Gil Obando,36,Masculino,Cusco,San Jeronimo,2025-01-22,Tienda,Ocasional
C00264,Henry Daniel Valencia Rivera,28,Masculino,Trujillo,Huanchaco,2023-02-04,Tienda,Regular
C00265,Fabio Giraldo,44,Masculino,Lima,Miraflores,2025-02-06,App,Regular
C00266,Rosalba Ocampo Rodríguez,42,Femenino,Trujillo,Victor Larco,2023-01-20,Tienda,Regular
C00267,Cristina Karen Alvarado Jiménez,49,Femenino,Lima,San Juan de Lurigancho,2022-09-26,Tienda,Nuevo
C00268,Luis Valencia,46,Masculino,Lima,Miraflores,2025-03-15,Web,Premium
C00269,Eduardo Caro Cantillo,46,Masculino,Cusco,Cusco Cercado,2023-12-27,Tienda,Regular
C00270,María Torres García,22,Femenino,Lima,Ate,2025-08-09,Tienda,Regular
C00271,Andrés Manuel Polo,35,Masculino,Trujillo,Trujillo Cercado,2024-08-02,Tienda,Premium
C00272,Luis Mario Delgado Garzón,18,Masculino,Piura,Catacaos,2025-02-07,App,Regular
C00273,Patricia Pulido Torres,46,Femenino,Lima,San Isidro,2024-08-16,App,Regular
C00274,Valeria Alzate,38,Femenino,Lima,Los Olivos,2023-01-04,Tienda,Premium
